"title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate"
"Rep","Neil","","Abercrombie","","","D","HI","1","0","M","","","","","","A000014","26827","H6HI01121","400001","N00007665","neilabercrombie","http://www.opencongress.org/wiki/Neil_Abercrombie","http://www.youtube.com/hawaiirep1","","","","06/26/1938"
"Rep","Gary","L.","Ackerman","","","D","NY","5","1","M","202-225-2601","202-225-1589","http://ackerman.house.gov/","http://www.house.gov/writerep","2111 Rayburn House Office Building","A000022","26970","H4NY07011","400003","N00001143","repgaryackerman","http://www.opencongress.org/wiki/Gary_Ackerman","http://www.youtube.com/RepAckerman","RepAcherman","","","11/19/1942"
"Rep","Robert","B.","Aderholt","","","R","AL","4","1","M","202-225-4876","202-225-5587","http://aderholt.house.gov/","http://aderholt.house.gov/?sectionid=195&sectiontree=195","2264 Rayburn House Office Building","A000055","441","H6AL04098","400004","N00003028","Robert_Aderholt","http://www.opencongress.org/wiki/Robert_Aderholt","http://www.youtube.com/RobertAderholt","RobertAderholt","","","07/22/1965"
"Sen","Daniel","Kahikina","Akaka","Sr.","","D","HI","Junior Seat","1","M","202-224-6361","202-224-2126","http://www.akaka.senate.gov","http://www.akaka.senate.gov/email-senator-akaka.cfm","141 Hart Senate Office Building","A000069","53286","S0HI00084","300001","N00007653","","http://www.opencongress.org/wiki/Daniel_Akaka","http://www.youtube.com/senatorakaka","danielakaka","","I","09/11/1924"
"Sen","Wayne","A.","Allard","","","R","CO","Senior Seat","0","M","","","","","","A000109","26783","S6CO00168","300003","N00009082","","http://www.opencongress.org/wiki/Wayne_Allard","","","","II","12/02/1943"
"Rep","Robert","E.","Andrews","","Rob","D","NJ","1","1","M","202-225-6501","","http://www.house.gov/andrews/","http://www.house.gov/andrews/contact_form_za.shtml","2265 Rayburn House Office Building","A000210","26949","H0NJ01066","400008","N00000826","RepAndrews","http://www.opencongress.org/wiki/Robert_Andrews","","","","","08/04/1957"
"Rep","Thomas","H.","Allen","","Tom","D","ME","1","0","M","","","","","","A000357","380","H6ME01157","400007","N00000469","","http://www.opencongress.org/wiki/Thomas_Allen","","","","","04/16/1945"
"Rep","W. Todd","","Akin","","","R","MO","2","1","M","202-225-2561","202-225-2563","http://akin.house.gov/","http://akin.house.gov/email.shtml","117 Cannon House Office Building","A000358","9301","H0MO02148","400005","N00009677","ToddAkin","http://www.opencongress.org/wiki/W._Todd_Akin","http://www.youtube.com/RepToddAkin","CongressmanToddAkin","","","07/05/1947"
"Sen","Lamar","","Alexander","","","R","TN","Senior Seat","1","M","202-224-4944","202-228-3398","http://www.alexander.senate.gov/","http://www.alexander.senate.gov/public/index.cfm?p=Email","455 Dirksen Senate Office Building","A000360","15691","S2TN00058","300002","N00009888","senalexander","http://www.opencongress.org/wiki/Lamar_Alexander","http://www.youtube.com/lamaralexander","lamaralexander","","II","07/03/1940"
"Rep","Rodney","M.","Alexander","","","R","LA","5","1","M","202-225-8490","202-225-5639","http://alexander.house.gov/","http://www.house.gov/alexander/content/webform/zipauth.htm","316 Cannon House Office Building","A000361","4545","H2LA05084","400006","N00025464","USRepAlexander","http://www.opencongress.org/wiki/Rodney_Alexander","http://www.youtube.com/RepRodneyMAlexander","20002702544","","","12/05/1946"
"Rep","Jason","","Altmire","","","D","PA","4","1","M","202-225-2565","202-226-2274","http://altmire.house.gov/","https://forms.house.gov/altmire/webforms/issue_subscribe.htm","332 Cannon House Office Building","A000362","59999","H6PA04110","412231","N00027664","RepJasonAltmire","http://www.opencongress.org/wiki/Jason_Altmire","http://www.youtube.com/congressmanaltmire","1258677943","","","03/07/1968"
"Rep","Michael","A.","Arcuri","","","D","NY","24","0","M","","","","","","A000363","67657","H6NY24128","412224","N00027890","","http://www.opencongress.org/wiki/Michael_Arcuri","http://www.youtube.com/RepArcuri","","","","06/11/1959"
"Rep","John","H.","Adler","","","D","NJ","3","0","M","","","","","","A000364","4171","H8NJ03156","412264","N00000812","","http://www.opencongress.org/wiki/John_Adler","http://www.youtube.com/RepJohnAdler","","","","08/23/1959"
"Rep","Steven","","Austria","","Steve","R","OH","7","1","M","202-225-4324","202-225-1984","http://austria.house.gov/","https://forms.house.gov/austria/contact-form.shtml","439 Cannon House Office Building","A000365","23398","H8OH07065","412265","N00029412","SteveAustria","http://www.opencongress.org/wiki/Steven_Austria","http://www.youtube.com/CongressmanAustria","186083068071784","","","10/12/1958"
"Rep","Sandra","","Adams","","","R","FL","24","1","F","202-225-2706","202-226-6299","http://adams.house.gov/","","216 Cannon House Office Building","A000366","31041","H0FL24049","412414","N00030926","RepSandyAdams","http://www.opencongress.org/wiki/Sandy_Adams","http://www.youtube.com/RepSandyAdams","","","","12/14/1956"
"Rep","Justin","","Amash","","","R","MI","3","1","M","202-225-3831","202-225-5144","http://amash.house.gov/","","114 Cannon House Office Building","A000367","105566","H0MI03126","412438","N00031938","repjustinamash","http://www.opencongress.org/wiki/Justin_Amash","http://www.youtube.com/user/AmashMI03","repjustinamash","","","04/18/1980"
"Sen","Kelly","A ","Ayotte","","","R","NH","Junior Seat","1","F","202-224-3324","","http://www.ayotte.senate.gov","http://www.ayotte.senate.gov/?p=contact","144 Russell Senate Office Building","A000368","42352","S0NH00235","412493","N00030980","","http://www.opencongress.org/wiki/Kelly_Ayotte","http://www.youtube.com/KellyAyotte","","","III","06/27/1968"
